hours,block,wl,die,vt
16,13,31,58,16
16,24,31,58,16
16,64,31,58,16
16,71,31,58,16
16,79,31,58,16
16,101,31,58,16
16,104,31,58,16
16,110,36,1,31
16,110,36,7,46
16,110,36,9,31
16,110,36,10,31
16,110,36,19,31
16,110,36,23,31
16,110,36,24,46
16,110,36,25,46
16,110,36,32,46
16,110,36,35,31
16,110,36,39,31
16,110,36,40,31
16,110,36,41,31
16,110,36,42,31
16,110,36,47,31
16,110,36,55,31
16,110,36,56,46
16,110,36,57,31
16,110,36,59,31
16,110,36,63,31
16,110,36,66,31
16,110,36,67,31
16,110,36,71,31
16,110,36,72,31
16,110,36,73,46
16,110,36,74,31
16,110,36,80,31
16,110,36,81,31
16,110,36,88,31
16,110,36,89,31
16,110,36,94,31
16,110,36,95,46
16,110,36,103,31
16,110,36,104,31
16,110,36,105,31
16,110,36,106,31
16,110,36,121,31
16,110,36,124,31
16,110,36,126,31
16,110,38,0,30
16,110,38,1,30
16,110,38,2,30
16,110,38,3,30
16,110,38,4,30
16,110,38,5,30
16,110,38,6,30
16,110,38,7,30
16,110,38,8,30
16,110,38,9,30
16,110,38,10,30
16,110,38,11,30
16,110,38,12,30
16,110,38,13,30
16,110,38,14,30
16,110,38,15,30
16,110,38,16,30
16,110,38,17,30
16,110,38,18,30
16,110,38,19,30
16,110,38,20,30
16,110,38,21,30
16,110,38,22,30
16,110,38,23,30
16,110,38,24,30
16,110,38,25,30
16,110,38,26,30
16,110,38,27,30
16,110,38,28,30
16,110,38,29,30
16,110,38,30,30
16,110,38,31,30
16,110,38,32,30
16,110,38,33,30
16,110,38,34,30
16,110,38,35,30
16,110,38,36,30
16,110,38,37,30
16,110,38,38,30
16,110,38,39,30
16,110,38,40,30
16,110,38,41,30
16,110,38,42,30
16,110,38,43,30
16,110,38,44,30
16,110,38,45,30
16,110,38,46,30
16,110,38,47,30
16,110,38,48,30
16,110,38,49,30
16,110,38,50,30
16,110,38,51,30
16,110,38,52,30
16,110,38,53,30
16,110,38,54,30
16,110,38,55,30
16,110,38,56,30
16,110,38,57,30
16,110,38,58,30
16,110,38,59,30
16,110,38,61,30
16,110,38,62,30
16,110,38,63,30
16,110,38,64,30
16,110,38,65,30
16,110,38,66,30
16,110,38,67,30
16,110,38,68,30
16,110,38,69,30
16,110,38,70,30
16,110,38,71,30
16,110,38,72,30
16,110,38,73,30
16,110,38,74,30
16,110,38,75,30
16,110,38,76,30
16,110,38,77,30
16,110,38,78,30
16,110,38,79,30
16,110,38,80,30
16,110,38,81,30
16,110,38,82,30
16,110,38,83,30
16,110,38,85,30
16,110,38,86,30
16,110,38,87,30
16,110,38,88,30
16,110,38,89,30
16,110,38,90,30
16,110,38,91,30
16,110,38,92,30
16,110,38,93,30
16,110,38,94,30
16,110,38,95,30
16,110,38,96,30
16,110,38,97,30
16,110,38,98,30
16,110,38,99,30
16,110,38,100,30
16,110,38,101,30
16,110,38,102,30
16,110,38,103,30
16,110,38,104,30
16,110,38,105,30
16,110,38,106,30
16,110,38,107,30
16,110,38,108,30
16,110,38,109,30
16,110,38,111,30
16,110,38,112,30
16,110,38,113,30
16,110,38,114,30
16,110,38,115,30
16,110,38,116,30
16,110,38,117,30
16,110,38,118,30
16,110,38,119,30
16,110,38,120,30
16,110,38,121,31
16,110,38,122,30
16,110,38,123,30
16,110,38,124,30
16,110,38,125,30
16,110,38,126,30
16,110,38,127,30
16,140,10,45,16
16,140,31,12,16
16,140,31,16,17
16,140,31,17,17
16,140,31,23,17
16,140,31,33,17
16,140,31,45,17
16,140,31,49,16
16,140,31,54,17
16,140,31,58,16
16,140,31,59,17
16,140,31,61,16
16,140,31,64,16
16,140,31,65,17
16,140,31,71,17
16,140,31,76,17
16,140,31,86,17
16,140,31,90,17
16,140,31,91,17
16,140,31,92,16
16,140,31,93,17
16,140,31,96,17
16,140,31,97,17
16,140,31,108,17
16,140,31,123,16
16,140,31,124,17
16,140,31,125,17
16,141,10,45,17
16,141,31,1,17
16,141,31,12,17
16,141,31,16,16
16,141,31,17,16
16,141,31,23,17
16,141,31,33,16
16,141,31,45,17
16,141,31,48,17
16,141,31,49,16
16,141,31,54,17
16,141,31,58,17
16,141,31,59,17
16,141,31,64,16
16,141,31,65,17
16,141,31,71,17
16,141,31,76,17
16,141,31,86,17
16,141,31,90,17
16,141,31,91,17
16,141,31,92,17
16,141,31,93,17
16,141,31,96,17
16,141,31,97,17
16,141,31,103,17
16,141,31,108,17
16,141,31,122,17
16,141,31,123,17
16,141,31,124,17
16,143,30,23,17
16,143,31,12,17
16,143,31,13,17
16,143,31,16,17
16,143,31,17,16
16,143,31,23,17
16,143,31,33,17
16,143,31,45,17
16,143,31,48,17
16,143,31,49,17
16,143,31,54,17
16,143,31,58,16
16,143,31,59,17
16,143,31,61,17
16,143,31,64,17
16,143,31,65,17
16,143,31,71,16
16,143,31,76,16
16,143,31,90,17
16,143,31,91,17
16,143,31,92,17
16,143,31,93,17
16,143,31,96,17
16,143,31,97,17
16,143,31,108,17
16,143,31,123,17
16,143,31,124,17
16,144,10,45,17
16,144,31,12,17
16,144,31,16,17
16,144,31,17,17
16,144,31,23,17
16,144,31,33,17
16,144,31,45,17
16,144,31,48,16
16,144,31,49,17
16,144,31,54,17
16,144,31,58,17
16,144,31,64,17
16,144,31,65,17
16,144,31,71,17
16,144,31,76,16
16,144,31,90,17
16,144,31,91,17
16,144,31,97,17
16,144,31,108,17
16,144,31,123,17
16,144,31,124,17
16,146,31,12,17
16,146,31,16,17
16,146,31,17,17
16,146,31,33,17
16,146,31,44,17
16,146,31,45,17
16,146,31,48,16
16,146,31,49,17
16,146,31,58,16
16,146,31,64,17
16,146,31,65,16
16,146,31,71,16
16,146,31,76,17
16,146,31,86,17
16,146,31,90,17
16,146,31,91,17
16,146,31,97,17
16,146,31,108,17
16,146,31,123,16
16,146,31,124,17
16,147,31,12,17
16,147,31,16,17
16,147,31,17,17
16,147,31,23,16
16,147,31,33,17
16,147,31,45,16
16,147,31,48,17
16,147,31,49,17
16,147,31,54,17
16,147,31,58,16
16,147,31,61,17
16,147,31,64,16
16,147,31,65,17
16,147,31,71,16
16,147,31,76,17
16,147,31,86,17
16,147,31,90,17
16,147,31,91,17
16,147,31,93,17
16,147,31,97,17
16,147,31,108,17
16,147,31,123,17
16,147,31,124,17
16,148,31,12,17
16,148,31,16,17
16,148,31,17,17
16,148,31,33,17
16,148,31,45,17
16,148,31,48,17
16,148,31,54,17
16,148,31,58,16
16,148,31,61,17
16,148,31,64,16
16,148,31,65,17
16,148,31,71,17
16,148,31,76,17
16,148,31,86,17
