hours,block,wl,die,vt
8,7,10,45,16
8,7,28,17,16
8,7,31,16,16
8,7,31,17,16
8,7,31,22,16
8,7,31,23,16
8,7,31,32,16
8,7,31,33,16
8,7,31,45,16
8,7,31,64,16
8,7,31,65,16
8,7,31,71,16
8,7,31,76,16
8,7,31,90,16
8,7,31,91,16
8,7,31,92,17
8,7,31,124,16
8,12,38,23,30
8,12,38,54,30
8,12,38,71,30
8,14,31,12,16
8,14,31,16,16
8,14,31,17,16
8,14,31,23,17
8,14,31,33,17
8,14,31,45,17
8,14,31,54,17
8,14,31,97,17
8,14,31,108,17
8,14,31,123,17
8,14,31,124,17
8,17,10,45,16
8,17,31,16,17
8,17,31,17,16
8,17,31,23,16
8,17,31,45,16
8,17,31,54,16
8,17,31,58,16
8,17,31,61,16
8,17,31,93,17
8,17,31,97,16
8,17,31,108,17
8,17,31,123,16
8,17,31,124,16
8,18,10,45,16
8,18,31,16,16
8,18,31,17,16
8,18,31,23,16
8,18,31,33,17
8,18,31,45,17
8,18,31,49,16
8,18,31,54,17
8,18,31,91,16
8,18,31,96,17
8,18,31,97,17
8,18,31,108,16
8,18,31,123,16
8,20,31,16,16
8,20,31,17,16
8,20,31,23,16
8,20,31,33,17
8,20,31,45,17
8,20,31,48,16
8,20,31,49,16
8,20,31,90,17
8,20,31,91,16
8,20,31,92,17
8,20,31,93,17
8,20,31,97,16
8,20,31,108,17
8,20,31,123,16
8,21,31,12,17
8,21,31,16,16
8,21,31,17,16
8,21,31,23,16
8,21,31,33,16
8,21,31,45,17
8,21,31,49,16
8,21,31,76,16
8,21,31,90,17
8,21,31,91,16
8,21,31,92,16
8,21,31,97,16
8,21,31,108,17
8,21,31,123,16
8,24,10,45,16
8,24,31,12,17
8,24,31,16,17
8,24,31,17,16
8,24,31,23,16
8,24,31,33,16
8,24,31,45,16
8,24,31,48,16
8,24,31,91,16
8,24,31,92,17
8,24,31,97,17
8,24,31,102,16
8,24,31,108,17
8,24,31,123,16
8,25,10,45,16
8,25,31,12,16
8,25,31,16,16
8,25,31,17,16
8,25,31,23,17
8,25,31,33,17
8,25,31,45,16
8,25,31,54,16
8,25,31,90,17
8,25,31,91,16
8,25,31,92,17
8,25,31,97,16
8,25,31,108,17
8,25,31,123,16
8,25,31,125,1
8,27,10,45,16
8,27,31,12,16
8,27,31,16,16
8,27,31,17,16
8,27,31,23,16
8,27,31,33,16
8,27,31,45,17
8,27,31,48,16
8,27,31,76,16
8,27,31,90,17
8,27,31,91,16
8,27,31,92,17
8,27,31,96,17
8,27,31,97,16
8,27,31,108,16
8,30,31,12,17
8,30,31,17,16
8,30,31,33,16
8,30,31,45,17
8,30,31,54,16
8,30,31,58,16
8,30,31,64,17
8,30,31,108,17
8,30,31,122,17
8,30,31,123,16
8,30,31,124,16
8,31,31,16,17
8,31,31,17,16
8,31,31,23,17
8,31,31,33,16
8,31,31,45,17
8,31,31,58,16
8,31,31,59,17
8,31,31,92,16
8,31,31,93,17
8,31,31,96,16
8,31,31,97,17
8,31,31,123,17
8,32,10,45,16
8,32,31,16,17
8,32,31,17,16
8,32,31,33,16
8,32,31,45,16
8,32,31,54,17
8,32,31,64,16
8,32,31,65,16
8,32,31,108,17
8,32,31,123,16
8,33,10,45,16
8,33,31,12,17
8,33,31,16,17
8,33,31,17,16
8,33,31,33,17
8,33,31,45,17
8,33,31,48,17
8,33,31,49,17
8,33,31,96,16
8,33,31,123,16
8,33,31,124,17
8,36,31,16,17
8,36,31,17,17
8,36,31,23,16
8,36,31,33,17
8,36,31,45,16
8,36,31,49,16
8,36,31,54,16
8,36,31,90,17
8,36,31,91,16
8,36,31,97,16
8,36,31,108,16
8,36,31,123,16
8,37,31,12,16
8,37,31,16,17
8,37,31,17,17
8,37,31,23,16
8,37,31,33,16
